LLT_Code,PT_Code
10000909,10000891
10000910,10000891
10000911,10000891
10000912,10000891
10000913,10000891
10000914,10000891
10000915,10000891
10000916,10000891
10000917,10000891
10000918,10000891
10000919,10000891
10000920,10000891
10000921,10000891
10000922,10000891
10000923,10000891
10000924,10000891
10000925,10000891
10000926,10000891
10000927,10000891
10000928,10000891
10000929,10000891
10000930,10000891
10000931,10000891
10000932,10028606
10000933,10028606
10000934,10028606
10000935,10061302
10000936,10061302
10000937,10028810
10000938,10028810
10000939,10065673
10000940,10029117
10000941,10036012
10000942,10036012
10000943,10036012
10000944,10036012
10000945,10036012
10000946,10033079
10000947,10033079
10000948,10001029
10000949,10024558
10000950,10006451
10000951,10017955
10000952,10069339
10000953,10001053
10000954,10010305
10000955,10019744
10000956,10019744
10000957,10034674
10000958,10001022
10000959,10031253
10000960,10031253
10000961,10031253
10000962,10031253
10000963,10031253
10000964,10031253
10000965,10031253
10000966,10031253
10000967,10031253
10000968,10031253
10000969,10031253
10000970,10037377
10000971,10033647
10000972,10038491
10000973,10006545
10000974,10006545
10000975,10006545
10000976,10006545
10000977,10006545
10000978,10033847
10000979,10033864
10000980,10033892
10000981,10034344
10000982,10034354
10000983,10034344
10000984,10034354
10000985,10034354
10000986,10034354
10000987,10034344
10000988,10034344
10000989,10034354
10000990,10034358
10000991,10034354
10000992,10034341
10000993,10034341
10000994,10034365
10000995,10034341
10000996,10034484
10000997,10034484
10000998,10034484
10000999,10062067
10001000,10034539
10001001,10034762
10001002,10034835
10001003,10036012
10001004,10036012
10001005,10036012
10001006,10036012
10001007,10036012
10001008,10036012
10001009,10036012
10001010,10036012
10001011,10036012
10001012,10036012
10001013,10036012
10001015,10082297
10001016,10082297
10001017,10069339
10001018,10036774
10001019,10001019
10001020,10001019
10001021,10036978
10001022,10001022
10001023,10001022
10001024,10001029
10001025,10037427
10001026,10010969
10001027,10001027
10001028,10061473
10001029,10001029
10001030,10037427
10001031,10037584
10001032,10037597
10001033,10037597
10001034,10037597
10001035,10037597
10001036,10068142
10001037,10068142
10001038,10070245
10001039,10001084
10001040,10001084
10001041,10069339
10001042,10069339
10001043,10069339
10001044,10069339
10001045,10069339
10001046,10069339
10001047,10069339
10001048,10069339
10001049,10069339
10001050,10069339
10001051,10069339
10001052,10001052
10001053,10001053
10001054,10046555
10001055,10046555
10001056,10014683
10001057,10062110
10001058,10064550
10001059,10034496
10001060,10039054
10001061,10039453
10001062,10039453
10001063,10033079
10001064,10039626
10001065,10039626
10001066,10039626
10001067,10039626
10001068,10039626
10001069,10039626
10001070,10039626
10001071,10039626
10001072,10039626
10001073,10062164
10001074,10062164
10001075,10033079
10001076,10001076
10001077,10001076
10001078,10001076
10001079,10001076
10001080,10001076
10001081,10001076
10001082,10061621
10001083,10001076
10001084,10001084
10001085,10001084
10001086,10033079
10001087,10033079
10001088,10033079
10001089,10033079
10001090,10033072
10001091,10029339
10001092,10043780
10001093,10044008
10001094,10044008
10001095,10044302
10001096,10044304
10001097,10044302
10001098,10031253
10001099,10038540
10001100,10036012
10001101,10046306
10001102,10046306
10001103,10046306
10001104,10046306
10001105,10046477
10001106,10046735
10001107,10046914
10001108,10027401
10001109,10053160
10001110,10047780
10001111,10008196
10001112,10001115
10001113,10001115
10001114,10001115
10001115,10001115
10001116,10034721
10001117,10061621
10001118,10083622
10001119,10083622
10001120,10061111
10001121,10013663
10001122,10013663
10001123,10013663
10001124,10013663
10001125,10012335
10001126,10013663
10001127,10013663
10001128,10013663
10001129,10034695
10001130,10001130
10001131,10034695
10001132,10034695
10001133,10001389
10001134,10034695
10001135,10050031
10001136,10001136
10001137,10025188
10001138,10025188
10001139,10015571
10001140,10062659
10001141,10001141
10001142,10014720
10001143,10014720
10001144,10014720
10001145,10014720
10001146,10014720
10001147,10014720
10001148,10014720
10001149,10014720
10001150,10001150
10001151,10001150
10001152,10001150
10001153,10001150
10001154,10001150
10001155,10001150
10001156,10001150
10001157,10001150
10001158,10001150
10001159,10001150
10001160,10025031
10001161,10025034
10001162,10025035
10001163,10025036
10001164,10025037
10001165,10025038
10001166,10001141
10001167,10001167
10001168,10001167
10001169,10001167
10001170,10001167
10001171,10001167
10001172,10001167
10001173,10030137
10001174,10067946
10001175,10025031
10001176,10025034
10001177,10025033
10001178,10025034
10001179,10025035
10001180,10025036
10001181,10025037
10001182,10025037
10001183,10025037
10001184,10025038
10001185,10025031
10001186,10060862
10001187,10001150
10001188,10001150
10001189,10001150
10001190,10001150
10001191,10001150
10001192,10001150
10001193,10001150
10001194,10001150
10001195,10001150
10001196,10001150
10001197,10001197
10001198,10036909
10001199,10036911
10001200,10036917
10001201,10036918
10001202,10036919
10001203,10036920
10001204,10057644
10001205,10066474
10001206,10004986
10001207,10004987
10001208,10004988
10001209,10004989
10001210,10004990
10001211,10004991
10001212,10004992
10001213,10005084
10001214,10066750
10001215,10066749
10001216,10066751
10001217,10066753
10001218,10066754
10001219,10066752
10001220,10061523
10001221,10024535
10001222,10024536
10001223,10024537
10001224,10024538
10001225,10024539
10001226,10024540
10001227,10043966
10001228,10001229
10001229,10001229
10001230,10001230
10001231,10001233
10001232,10001323
10001233,10001233
10001234,10001233
10001235,10019629
10001236,10001233
10001237,10043688
10001238,10014755
10001239,10008338
10001240,10025197
10001241,10001242
10001242,10001242
10001243,10016621
10001244,10001244
10001245,10001245
10001246,10001245
10001247,10001247
10001248,10001248
10001249,10001249
10001250,10001250
10001251,10001251
10001252,10001251
10001253,10001251
10001254,10001254
10001255,10001245
10001256,10001256
10001257,10001257
10001259,10080441
10001260,10001260
10001261,10015571
10001262,10062659
10001263,10060931
10001264,10060931
10001265,10005331
10001266,10005332
10001267,10005334
10001268,10005334
10001269,10002776
10001270,10053198
10001271,10053198
10001272,10005335
10001273,10005335
10001274,10005336
10001276,10066968
10001277,10060932
10001278,10044019
10001279,10022945
10001280,10022945
10001281,10027582
10001282,10027582
10001283,10027582
10001284,10022945
10001285,10003074
10001286,10034464
10001287,10027582
10001288,10027582
10001289,10034486
10001290,10012442
10001291,10062083
10001292,10013896
10001293,10029883
10001294,10001294
10001295,10061621
10001296,10001296
10001297,10001297
10001298,10001298
10001299,10001299
10001300,10001300
10001303,10061621
10001304,10001296
10001305,10001297
10001306,10001300
10001307,10061621
10001308,10061621
10001309,10001298
10001310,10061621
10001311,10001297
10001312,10061621
10001313,10061621
10001314,10081576
10001315,10001315
10001317,10049677
10001318,10001318
10001319,10002820
10001320,10023509
10001321,10001322
10001322,10001322
10001323,10001323
10001324,10001324
10001325,10001325
10001326,10073152
10001327,10073152
10001328,10020564
10001329,10001324
10001330,10001347
10001331,10001331
10001332,10020564
10001333,10020719
10001334,10001367
10001335,10001367
10001336,10001367
10001337,10001337
10001338,10061503
10001340,10001347
10001342,10001367
10001344,10001367
10001345,10001337
10001346,10001389
10001347,10001347
10001348,10001347
10001350,10004724
10001351,10004725
10001352,10004726
10001356,10001356
10001358,10001358
10001359,10001360
10001360,10001360
10001361,10001361
10001362,10001361
10001363,10001361
10001364,10001361
10001365,10020564
10001366,10001367
10001367,10001367
10001368,10001368
10001369,10001367
10001371,10001371
10001372,10061503
10001374,10027451
10001375,10061588
10001379,10001379
10001380,10061503
10001381,10001389
10001382,10001382
10001383,10061630
10001384,10061622
10001385,10054185
10001386,10061622
10001387,10001387
10001388,10001388
10001389,10001389
10001390,10001130
10001391,10001391
10001392,10001392
10001393,10005450
10001394,10005451
10001395,10005450
10001396,10005451
10001397,10005452
10001398,10005453
10001399,10061630
10001400,10061630
10001401,10061630
10001402,10001402
10001403,10012503
10001404,10029957
10001405,10022116
10001406,10031233
10001407,10001052
10001408,10001052
10001409,10001052
10001410,10001052
10001411,10031250
10001412,10001413
10001413,10001413
10001415,10001413
10001416,10001416
10001417,10001417
10001418,10001418
10001419,10001419
10001420,10001420
10001421,10001421
10001422,10024670
10001423,10001423
10001425,10003549
10001426,10021333
10001428,10017891
10001429,10017891
10001431,10052813
10001432,10004129
10001433,10001433
10001434,10003658
10001435,10039906
10001436,10039906
10001437,10001443
10001439,10027940
10001440,10016759
10001441,10016759
10001442,10005885
10001443,10001443
10001444,10001443
10001445,10001443
10001446,10001443
10001447,10001443
10001448,10001443
10001449,10001443
10001450,10001443
10001451,10001443
10001452,10003658
10001453,10016075
10001454,10001772
10001455,10001772
10001456,10001775
10001457,10001781
10001458,10001782
10001459,10001781
10001460,10001782
10001461,10001461
10001462,10001461
10001463,10073653
10001464,10013911
10001465,10036346
10001466,10036346
10001467,10036346
10001468,10040984
10001469,10001563
10001470,10020983
10001471,10020983
10001472,10010539
10001473,10015077
10001476,10001477
10001477,10001477
10001478,10010416
10001479,10037407
10001480,10001480
10001481,10047937
10001482,10020578
10001483,10043882
10001484,10010264
10001485,10060800
10001486,10067484
10001487,10061601
10001488,10001488
10001489,10001488
10001490,10001488
10001491,10001488
10001492,10034721
10001493,10001488
10001494,10001488
10001495,10001497
10001496,10001496
10001497,10001497
10001498,10001497
10001499,10001497
10001500,10001500
10001501,10001501
10001502,10001502
10001503,10033666
10001504,10001502
10001505,10001502
10001506,10001507
10001507,10001507
10001508,10001508
10001509,10000565
10001510,10078164
10001511,10063546
10001512,10051999
10001513,10001513
10001514,10025312
10001515,10023286
10001516,10078164
10001517,10002133
10001518,10002134
10001519,10002135
10001520,10002136
10001521,10002137
10001522,10002138
10001523,10078164
10001524,10001524
10001525,10004111
10001526,10001526
10001527,10001526
10001528,10001526
10001529,10013968
10001530,10016766
10001531,10016766
10001532,10027990
10001533,10052813
10001534,10001534
10001535,10000369
10001536,10061877
10001537,10061877
10001538,10062530
10001539,10061877
10001540,10001540
10001541,10001541
10001542,10024792
10001543,10003628
10001544,10059570
10001545,10023648
10001546,10001546
10001547,10001547
10001548,10001547
10001549,10001549
10001550,10001551
10001551,10001551
10001552,10001552
10001553,10033670
10001554,10002855
10001555,10041197
10001556,10031280
10001557,10001557
10001558,10005285
10001559,10005286
10001560,10005286
10001561,10005287
10001562,10001562
10001563,10001563
10001564,10001563
10001565,10001565
10001566,10001567
10001567,10001567
10001568,10001565
10001569,10001569
10001570,10005288
10001571,10005288
10001572,10005287
10001573,10005289
10001574,10005287
10001575,10001575
10001576,10001582
10001577,10001582
10001578,10001581
10001579,10001563
10001580,10001580
10001581,10001581
10001582,10001582
